Species,Common name,Scientific name,Price,months
Lizards,Baby Dumerils Monitor,Varanus Dumerilii,$349.99,9
Amphibians,Mozambique Rain Frog,Breviceps mossambicus,$39.99,9
Lizards,6 to 8 inch Veiled Chameleon,Chamaeleo calyptratus,$54.99,9
Amphibians,Southern Toad,Anaxyrus terrestris,$4.99,9
Inverts,Unicorn Mantis,,$59.99,9
Geckos,Baby Flying Gecko,Ptychozoon kuhli,$24.99,9
Lizards,Baby Ornate Nile Monitor,Varanus ornatus,$34.99,9
Snakes,Goldenchild Reticulated Python,,$399.99,9
Inverts,Ivory Millipede,Chicobolus spinigerus,$6.99,9
Amphibians,Big Eye Tree Frog,Leptopelis vermiculatus,$11.99,9
Lizards,Carpet Chameleon,,$74.99,9
Turtles,Yearling Southern Black Knob Map Turtles,Graptemys nigrinoda delticola,$199.99,7
Turtles,Baby Northern Redbelly Slider Turtle,Pseudemys rubriventris,$39.99,7
Snakes,Baby Blue Garter Snake,,$14.99,6
Lizards,Baby Rhino Iguana,Cyclura cornuta,$499.99,6
Snakes,Baby Sorong Green Tree Python,,$449.99,6
Geckos,Baby Tangerine Leopard Gecko,Eublepharis macularius,$24.99,6
Lizards,6 – 8 Inch Translucent Veiled Chameleon,Chamaeleo calyptratus,$59.99,6
Lizards,Baby American Alligator,Alligator mississippiensis,$149.99,6
Isopods,Agabiformus Lentus Isopod,Agabiformus Lentus,$9.99,6
Lizards,Baby Smooth-Fronted Caiman,Paleosuchus trigonatus,$199.99,6
Inverts,Peruvian Giant Centipede,Scolopendra galapagoensis,$299.99,9
Amphibians,Green Sipaliwini Dart Frog,Dendrobates tinctorius,$39.99,9
Snakes,Crowned Leaf Nose Snake,Lytorhynchus diadema,$49.99,9
Inverts,Giant Forest Mantis,Hierodula majuscula,$14.99,9
Snakes,Adult Biak Green Tree Python,Morelia viridis,$499.99,9
Snakes,Baby Licorice Rat Snake,Elaphe obsoleta obsoleta,$44.99,9
Lizards,Baby Painted Agama,Laudakia stellio brachydactyla,$69.99,9
Lizards,Tamatave Panther Chameleon,Furcifer pardalis,$349.99,9
Snakes,Adult Albino Corn Snake,Pantherophis guttatus,$74.99,9
Snakes,Baby Snow Motley Cornsnake,Pantherophis guttatus,$69.99,9
Tegus,Albino Ultra Purple Tegu #2,SALVATOR MERIANAE X RUFESCENS,"$2,499.99",9
Turtles,Baby Yellow Mud Turtle,Kinosternon flavescens,$79.99,9
Inverts,Mexican Red Leg Tarantula,Brachypelma emilia,$84.99,9
Snakes,Baby Sunglow Colombian Redtail Boa,Boa constrictor imperator,$374.99,9
Lizards,Haitain Galliwasp,,$149.99,9
Geckos,Malaysian Cat Eye Gecko,Aeluroscalabotes felinus,$74.99,9
Snakes,Baby Northern Pine Snake,Pituophis melanoleucus,$64.99,9
Snakes,Baby Desert Kingsnake,Lampropeltis getula splendida,$59.99,6
Tortoises,Home’s Hingeback Tortoise,Kinixys homeana,$59.99,6
Lizards,Solomon Island Ground Skink,Eugongylus albofasciolatus,$124.99,6
Snakes,Baby Everglades Ratsnake,Elaphe obsoleta rossalleni,$99.99,6
Inverts,Vietnamese Centipede,Scolopendra dehaani,$19.99,6
Lizards,Madagascan Spiny Tail Iguana (Grandidieri),Oplurus grandidieri,$39.99,6
Lizards,Desert Collared Lizard,Crotaphytus bicinctores,$24.99,6
Snakes,Baby Coastal Jaguar Carpet Python,Morelia spilota mcdowelli,$149.99,6
Inverts,Emerald Skeleton Tarantula,Ephebopus uatuman,$34.99,6
Lizards,Mountain Horned Lizard,Acanthosaura capra,$14.99,9
Geckos,Baby Leucistic Albino Leopard Gecko,Eublepharis macularius,$44.99,9
Lizards,Lined Skink,Plestiodon fasciatus,$9.99,9
Turtles,Adult Eastern Mud Turtle,,$29.99,9
Amphibians,Firebelly Toad,Bombina orientalis,$14.99,9
Lizards,Baby Desert Collared Lizard,,$24.99,9
Snakes,Baby Irian Jaya x Coastal Carpet Python,,$74.99,9
Lizards,Baby Kei Island Blue Tongue Skink,Tiliqua gigas keyensis,$349.99,9
Snakes,Baby Checkered Garter Snake,Thamnophis marcianus,,9
Lizards,3-4 Foot Green Iguana,Iguana iguana,$29.99,9
Amphibians,Albino Red Eyed Tree Frog,Agalychnis callidryas,$59.99,9
Snakes,Baby Arabesque Redtail Boa,,$224.99,5
Geckos,Central American Banded Gecko,Coleonyx mitratus,$24.99,5
Tortoises,Hermann’s Tortoise,Testudo hermanni,$149.99,5
Lizards,Emperor Flat Rock Lizard,Platysaurus imperator,$74.99,5
Amphibians,Starfire Pacman Frog,,$34.99,5
Inverts,Indian Ornamental Tarantula,Poecilotheria regalis,$59.99,5
Inverts,Dead Leaf Mantis,Deroplatys desiccata,$29.99,5
Lizards,Tanimbar Blue Tongue Skink,T. scincoides chimaerea,$249.99,5
Inverts,Emperor Scorpion,Pandinus imperator,$34.99,5
Lizards,Baby Cayman Brac Iguana,Cyclura nubila caymanensis,$749.99,5
Geckos,Madagascar Crimson Giant Day Gecko,,$39.99,9
Turtles,Narrow-Bridged Mexican Musk Turtle,Claudius angustatus,$199.99,9
Lizards,5-6 Foot Green Iguanas,Iguana iguana,$199.99,9
Snakes,Baby Hypo Western Hognose Snake,Heterodon nasicus,$249.99,9
Snakes,Baby Bay Of LA Rosy Boas,Lichanura trivirgata saslowi,$99.99,9
Turtles,Baby Southern River Cooter Turtle,Pseudemys Concinna Concinna,$6.99,9
Tegus,Baby Albino Lemon Ice Tegu,TUPINAMBIS MERIANAE X TUPINAMBIS RUFESCENS,"$2,499.99",9
Inverts,Feather Tail Centipede,Alipes grandidieri,$14.99,9
Inverts,Egyptian Pygmy Mantis,Miomantis paykullii,$29.99,9
Snakes,Vietnamese Vine Snake,Ahaetulla nasuta,$39.99,9
Snakes,Baby Tiger Jaguar Coastal Carpet Python,Morelia spilota mcdowelli,$199.99,9
Snakes,Baby Pastel Butter Ball Python,,$109.99,9
Geckos,Adult Tiger Crested Gecko,Correlophus ciliatus,$59.99,9
Snakes,Asian Vine Snakes,Ahaetulla nasuta,$24.99,5
Snakes,Baby Buf Amelanistic Cornsnake,Pantherophis guttatus,$99.99,5
Lizards,Adult Caiman Lizard,Dracaena guianensis,$749.99,5
Lizards,Medium Mountain Horned Lizard,,$16.99,5
Snakes,Adult Anery Stripe Kenyan Sand Boa,Eryx colubrinus,$174.99,5
Tortoises,Russian Tortoise,Testudo horsfieldii,$49.99,4
Venomous,Sterjeni’s Bamboo Pit Viper,Trimeresurus stejnegeri,$399.99,4
Snakes,Baby Flame Brooks Kingsnake,Lampropeltis getula brooksi,$49.99,4
Inverts,Brazilian Pink Bloom Tarantula,,$79.99,4
Lizards,Yellow Tree Monitor,Varanus Reisingeri,"$4,999.99",9
Lizards,Wedge-Snouted Skink,Chalcides sepsoides,$24.99,9
Lizards,Baby Dwarf Caiman,Paleosuchus palpebrosus,$299.99,9
Snakes,Baby Granite Spotted Python,Antaresia maculosa,$89.99,9
Lizards,Rudis Chameleon,Trioceros rudis,$39.99,9
Turtles,Baby Razorback Musk Turtle,,$34.99,9
Inverts,Dune Scorpion,Smeringurus mesaensis,$9.99,9
Snakes,Checkered Garter Snake,Thamnophis marcianus,$24.99,9
Inverts,Pumpkin Patch Tarantula,,$39.99,9
Snakes,Baby Black Racer Snake,Coluber constrictor,$9.99,9
Amphibians,Fleischmann’s Glass Frog,,$29.99,9
Turtles,Baby Two Headed Snapping Turtle,,"$3,999.99",9
Lizards,Brookesia Therezieni,Brookesia therezieni,$74.99,9
Lizards,Calotes Versicolor,,$11.99,9
Amphibians,African Common Toad,Amietophrynus gutturalis,$4.99,4
Lizards,Baby Morroccan Uromastyx,Uromastyx acanthinurus,$124.99,4
Lizards,Baby Giant Mexican Horn Lizard,Phrynosoma asio,$149.99,4
Lizards,Baby Abronia Taeniata,,$149.99,4
Lizards,Fire Skink,Lepidothyris fernandi,$24.99,4
Lizards,6-8 Inch Citrus Bearded Dragon,Pogona vitticeps,$49.99,4
Lizards,Sakishima Grass Lizard,Takydromus dorsalis,$224.99,4
Snakes,Baby Dumeril’s Boa,Acrantophis dumerili,$224.99,4
Turtles,Baby Eastern Mud Turtle,Kinosternon subrubrum hippocrepis,$34.99,4
Snakes,2-3 Foot Gopher Snake,Pituophis catenifer sayi,$64.99,4
Snakes,Baby Cornsnake,Pantherophis guttatus,$39.99,9
Inverts,Skeleton Leg Tarantula,,$34.99,9
Lizards,Adult Cuban Knight Anole,Anolis equestris,$9.99,9
Snakes,Baby Scaleless Head Banana Pastel Ball Python,Python regius,$499.99,9
Amphibians,Cuban Tree Frog,Osteopilus septentrionalis,$4.99,9
Turtles,Yearling Pearl River Map Turtle,“Pascagoula Map Turtle”,$124.99,9
Snakes,Baby Barons Racers,Philodryas baroni,$149.99,9
Snakes,Baby Albino Rosy Boas,Lichanura trivirgata,$149.99,9
Snakes,Baby Argentine Boa Constrictor,Boa constrictor occidentalis,$174.99,9
Amphibians,Yellowback Tinctorius Dart Frog,Dendrobates tinctorius,$39.99,9
Amphibians,Marine Toad,Bufo marinus,$4.99,9
Lizards,Baby Tanimbar Blue Tongue Skink,T. scincoides chimaerea,$249.99,9
Amphibians,Squirrel Tree Frog,Hyla squirella,$2.99,9
Amphibians,Couch’s Spadefoot Toad,,$9.99,9
Amphibians,Bird Poop Tree Frog,Hyla marmorata,$24.99,9
Geckos,Baby Tokay Gecko,,$20.00,9
Snakes,Orange Banded Amazon Tree Boa,Corallus hortulanus,$199.99,4
Amphibians,Large Tomato Frog,Dyscophus guineti,$29.99,4
Venomous,Red Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$499.99,4
Lizards,Juvenile Frilled Dragon,Chlamydosaurus kingii,$199.99,4
Snakes,Baby Water Snake,Nerodia taxispilota,$19.99,4
Tegus,Baby Ice Tegu,Tupinambis Merianae X Tupinambis rufescens,$349.99,4
Amphibians,Great Plains Toad,Anaxyrus cognatus,$6.99,4
Isopods,“Peach” Nosy Roly-Poly Isopods,Armadillidium nasatum,$9.99,4
Geckos,Short Fingered Gecko,Stenodactylus sthenodactylus,$24.99,4
Amphibians,Powder Grey Tinctorius Dart Frog,Dendrobates tinctorius,$34.99,9
Turtles,Baby Vietnamese Pond Turtle,Mauremys annamensis,$74.99,9
Amphibians,Clown Tree Frog,Hyla leucophyllata,$29.99,9
Amphibians,Baby Tomato Frog,Dyscophus guineti,$34.99,9
Lizards,Butterfly Agama,,$24.99,9
Lizards,Oaxacana Spiny tail iguana,Ctenosaura Oaxacana,$499.99,9
Isopods,Dwarf White Isopods,Trichorhina tomentosa,$12.49,9
Inverts,Mexican Fireleg Tarantula,Brachypelma boehmei,$89.99,9
Lizards,Zonosaurus quadrileneatus,Zonosaurus quadrileneatus,$14.99,9
Snakes,Yearling Albino Kenyan Sand Boa,Eryx colubrinus,$149.99,9
Turtles,Yearling Northern Black Knob Map Turtles,Graptemys nigrinoda,$124.99,9
Lizards,Mali Uromastyx,Uromastyx “dispar” maliensis,$74.99,9
Tortoises,Baby Ivory Sulcata Tortoise,Centrochelys sulcata,$549.99,9
Snakes,Baby Rusty Licorice Rat Snake,Elaphe obsoleta obsoleta,$49.99,9
Snakes,Baby Albino Darwin’s Carpet Python,,$299.99,9
Snakes,Baby Irian Jaya Granite Carpet Python,Morelia spilota variegata,$249.99,9
Lizards,Baby Eastern Collared Lizard,Crotaphytus collaris,$29.99,4
Snakes,Saharan Sand Boa,Eryx colubrinus,$64.99,4
Snakes,Baby Irian Jaya Carpet Python,Morelia spilota variegata,$99.99,4
Snakes,Orange Patternless Amazon Tree Boa,Corallus hortulanus,$199.99,4
Inverts,Tucson Blonde Tarantula,,$39.99,4
Venomous,Baby Flat Nose Bamboo Pit Viper,Trimeresurus puniceus,$124.99,4
Snakes,Baby Merauke X Aru X Biak Green Tree Python,Morelia vridis,$449.99,4
Turtles,Baby Pastel Hypo Mississippi Map Turtle,Graptemys pseudogeographica kohni,$499.99,4
Geckos,Lined Day Gecko,,$39.99,4
Snakes,Awl Headed Snake,Lytorhynchus diadema,$99.99,3
Snakes,Baby Magenta Florida Kingsnake,Lampropeltis getula floridana,$299.99,9
Snakes,Baby Irian Jaya Jaguar Carpet Python,Morelia spilota variegata,$199.99,9
Snakes,Baby Coral Ghost Cornsnake,Pantherophis guttatus,$49.99,9
Lizards,Baby Green Iguana,Iguana iguana,$14.99,9
Snakes,Baby Normal Corn Snake,Pantherophis guttatus,$24.99,9
Snakes,Baby Hypo Sinaloan Milksnake,Lampropeltis triangulum,$74.99,9
Snakes,Baby Tangerine Honduran Milksnake,Lampropeltis triangulum hondurensis,$99.99,9
Lizards,Brookesia brygooi,,$84.99,9
Amphibians,Long Tail Salamander,Eurycea longicauda,$29.99,9
Turtles,Spotted Turtle,Clemmys guttata,$249.99,9
Snakes,Baby San Matias Rosy Boa,,$89.99,9
Snakes,Baby Jungle Carpet Python,,$174.99,9
Lizards,Desert Iguana,Dipsosaurus dorsalis,$34.99,9
Amphibians,Brown Fantasy Pacman Frog,C. cornuta X C. cranwelli,$34.99,9
Geckos,House Gecko,Hemidactylus frenatus,$2.99,3
Turtles,Baby Reeves Turtle,,$59.99,3
Snakes,Baby Coral Ghost Stripe Cornsnake,Pantherophis guttatus,$149.99,3
Venomous,Congo Puff Adder,,$499.99,3
Amphibians,Spotted Salamander,,$19.99,3
Venomous,Collett’s Snake,,"$1,199.99",3
Snakes,Baby Rusty Rat Snake,Pantherophis obsoletus,$34.99,3
Snakes,Baby T Negative Albino Blood Python,Python brongersMay,$249.99,3
Venomous,Baby King Cobra,Ophiophagus hannah,$599.99,3
Snakes,Baby Caramel Tiger Jaguar Carpet Python,Morelia spilota mcdowelli,$274.99,3
Inverts,Shield Mantis,Rhombodera basalis,$19.99,9
Geckos,Baby Carrot Top Pinstripe Crested Gecko,Correlophus ciliatus,$174.99,9
Geckos,Tokay Gecko,Gekko gecko,$14.99,9
Amphibians,Highland Bronze Auratus Dart Frog,Dendrobates auratus,$34.99,9
Amphibians,Baby Dwarf Budgett’s Frog,,$49.99,9
Inverts,Horrid King Assassin Bug,,$24.99,9
Snakes,Red Beak Snake,Rhamphiophis rubropunctatus,$74.99,9
Tortoises,Baby Hypo Sulcata Tortoise,Centrochelys sulcata,$999.99,9
Lizards,Sand Fish,Scincus scincus,$29.99,9
Turtles,Indian Brown Roofed Turtle,,$449.99,9
Snakes,Blond Hognose Snake,,$149.99,9
Inverts,California Scorpion,Paruroctonus silvestrii,$14.99,9
Snakes,Banded Water Snake,Nerodia fasciata,$14.99,9
Snakes,Baby Cotton Candy Ghost Cornsnake,,$99.99,9
Lizards,6-8 Inch Nosy Be Panther Chameleon,,$199.99,9
Snakes,Baby Purple Line Anaconda Western Hognose Snake,Heterodon nasicus,$149.99,9
Snakes,Baby Biak Green Tree Python,Morelia viridis,$299.99,4
Snakes,Baby Hypo Cornsnake,,$49.99,4
Lizards,Baby Translucent Silky (Scaleless) Bearded Dragon,Pogona vitticeps,$149.99,4
Tegus,Baby Blue Tegu,Tupinambis Merianae,$399.99,4
Inverts,Solomon Island Giant Red Centipede,Ethmostigmus rubripes,$399.99,4
Snakes,Baby Okeetee Cornsnake,Elaphe guttata guttata,$39.99,4
Turtles,Baby Southern Black Knob Map Turtles,Graptemys nigrinoda delticola,$149.99,4
Lizards,Sailfin Dragon,,$109.99,4
Snakes,Baby Hypo Motley Cornsnake,Pantherophis guttatus,$59.99,4
Amphibians,Mossy Tree Frog,,$79.99,4
Snakes,Baby Prairie Kingsnake,Lampropeltis calligaster calligaster,$49.99,9
Geckos,Baby Leucistic Leopard Gecko,,$34.99,9
Turtles,European Pond Turtle,Emys orbicularis,$64.99,9
Lizards,Adult Male Translucent Veiled Chameleon,Chamaeleo calyptratus,$99.99,9
Geckos,Tiger Gecko,Pachydactylus tigrinus,$29.99,9
Snakes,Baby Mexican Black Kingsnake,Lampropeltis getula nigrita,$199.99,9
Snakes,Baby Colombian x Bolivian Redtail Boa,Boa constrictor imperator x amarali,$99.99,9
Snakes,Baby Strawberry Amelanistic Cornsnake,,$49.99,9
Geckos,Panther Gecko,Paroedura pictus,$19.99,9
Geckos,Baby Orange And Yellow Super Stripe Gargoyle Gecko,Rhacodactylus auriculatus,$299.99,9
Snakes,Baby Ball Python,Python regius,$39.99,9
Snakes,Tanzanian Egg Eating Snake,Dasypeltis scabra,$34.99,4
Snakes,Baby Anery Cornsnake,Pantherophis guttatus,$49.99,1
Inverts,Bengal Four Spotted Ornamental Tarantula,Poecilotheria miranda,$59.99,1
Amphibians,Green Pacman Frog,Ceratophrys cranwelli,$14.99,1
Tortoises,Baby Redfoot Tortoise,Chelonoidis carbonaria,$124.99,1
Snakes,Brazilian Rainbow Boa,Epicrates cenchria,$224.99,1
Inverts,Vinegaroon,Mastigoproctus giganteus giganteus,$29.99,1
Amphibians,Giraffe Tree Frog,Dendropsophus reticulatus,$49.99,1
Inverts,Colombian Purple Pinktoe Tarantula,Avicularia purple,$49.99,1
Snakes,Baby Eastern Hognose Snake,Heterodon platirhinos,$124.99,1
Geckos,Saklava Velvet Gecko,Blaesodactylus sakalava,$24.99,9
Geckos,Mourning Gecko,Lepidodactylus lugubris,$24.99,9
Snakes,Baby Albino Paradox Kenyan Sand Boa,Eryx colubrinus,$149.99,9
Turtles,Senegal Flapshell Turtle,Cyclanorbis senegalensis,$199.99,9
Geckos,Wahlberg’s Velvet Gecko,,$59.99,9
Lizards,Rainbow Whiptail,Cnemidophorus lemniscatus,$24.99,9
Snakes,Baby Pearl Island Boa Constrictor,Boa constrictor sabogae,$399.99,9
Snakes,Baby Snow Cornsnake,Pantherophis guttatus,$69.99,9
Lizards,Baby Hypo Translucent Bearded Dragon,Pogona vitticeps,$74.99,9
Lizards,Adult Chinese Water Dragon,Physignathus cocincinus,$29.99,9
Turtles,West African Helmetted Turtle,,$29.99,1
Geckos,Baby Orange Harlequin Crested Gecko,Correlophus ciliatus,$174.99,1
Turtles,Western Painted Turtle,Chrysemys picta,$19.99,1
Snakes,Baby Snow Kenyan Sand Boa,Eryx colubrinus,$174.99,1
Geckos,Halmahera Gecko,Gehyra marginata,$59.99,1
Snakes,Baby Butter Cornsnake,Pantherophis guttatus,$49.99,1
Snakes,Wolf Snake,Lycodon capucinus,$149.99,1
Snakes,Baby Anery Kenyan Sand Boa,Eryx colubrinus,$69.99,1
Snakes,Speckled Hognose Snake,Leioheterodon geayi,$174.99,9
Inverts,Mexican Redknee Tarantula,Brachypelma smithi,$69.99,9
Inverts,Brazilian Blue Green Pinktoe Tarantula,Avicularia geroldi,$89.99,9
Inverts,Chilean Tiger Rump Spider,Acanthogonatus francki,$29.99,9
Geckos,Brooks House Gecko,Hemidactylus brookii,$4.99,9
Snakes,Mangrove Salt Marsh Snake Het Anery,,$149.99,9
Turtles,Scorpion Mud Turtle,Kinosternon scorpioides,$74.99,9
Snakes,Baby Super Pastel HRA Yellowbelly Ball Python,,$399.99,9
Lizards,Starred Agama,Stellagama stellio,$69.99,9
Venomous,Baby Monocled Cobra Double Het Albino Suphan,Naja kaouthia,$249.99,9
Amphibians,Leucistic Axolotl,Ambystoma mexicanum,$24.99,9
Snakes,Baby Scaleless Head Pastel Ball Python,Python regius,$299.99,9
Lizards,2-3 Foot Green Iguana,Iguana iguana,$24.99,9
Amphibians,High Red Ornate Pacman Frog,,$39.99,9
Venomous,Baby Nimibian Coral Cobra,,$299.99,0
Amphibians,Purple Harlequin Toad,,$59.99,0
Tegus,Baby Bruiser Tegu,Tupinambis Merianae,$299.99,0
Snakes,Northern Garter Snake,Thamnophis sirtalis,$19.99,0
Tegus,Baby Chacoan White Headed Tegu,TUPINAMBIS MERIANAE,$179.99,0
Snakes,Baby Bull Snake,Pituophis catenifer sayi,$59.99,0
Amphibians,Splash Back Dart Frog,Adelphobates galactonotus,$69.99,0
Snakes,Solomon Island Tree Boa,Candoia bibroni,$149.99,0
Lizards,Peter’s Banded Skink,,$49.99,9
Amphibians,C.B. Baby Red Eye Tree Frogs,Agalychnis callidryas,$19.99,9
Snakes,Indonesian Tree Boa,Candoia carinata carinata,$59.99,9
Inverts,Bahia Scarlet Birdeater Tarantula,Lasiodora klugi,$24.99,9
Snakes,Patterned Red Amazon Tree Boa,Corallus hortulanus,$199.99,9
Turtles,Baby Cumberland Slider Turtle,Trachemys scripta troostii,$9.99,9
Lizards,Baby Fire Skink,Lepidothyris fernandi,$39.99,9
Geckos,Baby Chinese Cave Geckos,Goniurosaurus luii,$64.99,9
Snakes,Mexican Redtail Indigo,Drymarchon melanurus rubidus,"$1,999.99",9
Lizards,Green Tree Monitor,,"$1,249.99",9
Geckos,Albino Leopard Gecko,Eublepharis macularius,$49.99,9
Snakes,Baby San Isabel Solomon Island Ground Boa,Candoia carinata paulsoni,$44.99,9
Lizards,Juvenile Abronia Mixteca,Abronia mixteca,$199.99,9
Snakes,Baby Albino Brooks Kingsnake,Lampropeltis getula brooksi,$69.99,9
Lizards,Long Tailed Grass Lizard,Takydromus sexlineatus,$7.49,9
Snakes,Baby Thailand Bamboo Ratsnake,Oreocryptophis porphyraceus coxi,$249.99,0
Snakes,Yearling San Felipe Rosy Boa,,$99.99,9
Tortoises,Speke’s Hingeback Tortoise,,$74.99,9
Lizards,Black And White Chuckwalla,Sauromalus ater,$199.99,9
Geckos,Giant Leaf Tail Gecko,Uroplatus fimbriatus,$299.99,9
Snakes,Baby Albino Motley Cornsnake,Pantherophis guttatus,$39.99,9
Lizards,Nosy Be Panther Chameleon,,$249.99,9
Inverts,Wessel’s Tiger Ornamental Tarantula,Poecilotheria tigrinawesseli,$59.99,9
Snakes,Paradise Tree Snake,Chrysopelea paradisi,$249.99,9
Amphibians,Baby Golden Mantella,,$79.99,9
Snakes,Baby Twin Stripe Aberrant California Kingsnake,Lampropeltis getula californiae,$149.99,9
Amphibians,4 Spot Patternless Pacman Frog,,$24.99,9
Amphibians,Yellow Harlequin Toad,Atelopus pulcher,$64.99,9
Snakes,Baby Spotted Python,Antaresia maculosa,$49.99,9
Inverts,South American Green Praying Mantis,Oxyopsis gracilis,$29.99,9
Snakes,Black House Snake,,$64.99,9
Inverts,Double Shield Mantis,Pnigomantis medioconstricta,$49.99,9
Amphibians,Mountain Chicken Frog,Leptodactylus fallax,$44.99,9
Snakes,Baby Savu Python,Liasis mackloti savuensis,$124.99,9
Tegus,Baby Ultra Purple Tegu,SALVATOR MERIANAE X RUFESCENS,$399.99,9
Amphibians,Dusky Salamander,,$9.99,9
Snakes,Baby Scaleless Head Cinnamon Butter Ball Python,Python regius,$424.99,9
Lizards,Baby Dunner Bearded Dragon,Pogona vitticeps,$59.99,9
Inverts,Socotra Island Blue Baboon Tarantula,Monocentrophus balfouri,$99.99,9
Turtles,Baby Furrowed Wood Turtle,Rhinoclemmys areolata,$74.99,9
Turtles,Baby Serrated Sideneck Turtle,,$39.99,9
Amphibians,Red Ruber Salamander,Anolis sagrei,$59.99,9
Amphibians,Blue & Black Auratus Dart Frog,Dendrobates auratus,$39.99,9
Lizards,Flying Dragon Lizard,Draco lineatus,$34.99,9
Lizards,Adult Bearded Dragon,Pogona vitticeps,$174.99,9
Lizards,Bermanja Panther Chameleon,Furcifer pardalis,$349.99,9
Amphibians,Baby Pipa Pipa Toad,Pipa pipa,$44.99,9
Lizards,Eastern Collared Lizard,Crotaphytus collaris,$39.99,9
Snakes,Baby Black Cornsnake,Pantherophis guttatus,$34.99,9
Snakes,Baby Jelly Brooks Kingsnake,Lampropeltis getula brooksi,$59.99,9
Amphibians,Triangle Tree Frog,Dendropsophus triangulum,$49.99,9
Lizards,9-11 Inch High White Translucent Veiled Chameleon,Chamaeleo calyptratus,$84.99,9
Snakes,Schokari Sand Racer,Psammophis schokari,$59.99,9
Amphibians,Black Eyed Tree Frog,Agalychnis moreletii,$39.99,9
Inverts,Israeli Gold Scorpion,Scorpio maurus,$24.99,9
Snakes,Baby Hypo IMG Colombian Redtail Boa,Boa constrictor imperator,$999.99,9
Tegus,Albino Blue Tegu #2,Tupinambis Merianae,"$1,499.99",9
Snakes,Baby Mex Mex X Ruthveni Kingsnake,Lampropeltis m. mexicana X ruthveni,$69.99,9
Snakes,Baby Variable Kingsnake,Lampropeltis mexicana thayeri,$49.99,9
Tegus,Baby Red Het Anerythristic Tegu,Tupinambis rufescens,$599.99,9
Snakes,Baby Zebra Jungle Carpet Python,Morelia spilota cheynei,$249.99,9
Amphibians,Pipa Pipa Toad,,$29.99,9
Snakes,Baby Amazon Tree Boa,,$49.99,9
Venomous,Baby Saharan Sand Viper,Cerastes vipera,$149.99,9
